read2_code,phecode
B7673,216.0
B7674,216.0
B767z,216.0
B7680,216.0
B7681,216.0
B7682,216.0
B7683,229.0
B7683,216.0
B7684,216.0
B7685,216.0
B7686,216.0
B7687,216.0
B76B.,288.0
B76y.,216.0
B76z.,216.0
B77..,610.4
B770.,610.4
B771.,610.4
B77z.,610.4
B78..,218.1
B780.,218.1
B781.,218.1
B782.,218.1
B78z.,218.1
B790.,218.2
B7910,218.2
B7911,218.2
B791z,218.2
B79z.,218.2
B7A..,220.0
B7B..,221.0
B7B03,221.0
B7B1.,221.0
B7B10,221.0
B7B2.,221.0
B7B20,221.0
B7B21,221.0
B7B23,221.0
B7By.,221.0
B7Bz.,221.0
B7C..,222.0
B7C0.,222.0
B7C1.,222.0
B7C11,222.0
B7C2.,222.0
B7C3.,222.0
B7C4.,222.0
B7D1.,223.0
B7D3.,223.0
B7E..,224.0
B7E0.,224.0
B7E01,224.1
B7E1.,224.0
B7E3.,224.0
B7E5.,224.0
B7E6.,224.1
B7Ez.,224.0
B7F..,225.0
B7F0.,225.1
B7F00,225.1
B7F1.,225.1
B7F10,225.1
B7F20,225.1
B7F2z,225.1
B7F40,225.2
B7Fy.,225.0
B7Fy0,215.0
B7G..,226.0
B7H0.,227.1
B7H1.,227.2
B7H2.,227.3
B7H20,227.3
B7H21,199.0
B7H3.,227.0
B7Hz.,227.0
B7J0.,228.0
B7J00,228.0
B7J01,228.0
B7J02,228.0
B7J03,228.0
B7J04,228.0
B7J0z,228.0
B7z..,229.0
B7z0.,229.1
B7zz.,229.0
B8000,145.0
B8001,145.0
B8002,145.0
B8004,145.0
B8007,145.0
B801.,150.0
B801z,150.0
B802.,151.0
B8020,151.0
B803.,153.2
B8030,153.2
B8031,153.2
B8032,153.2
B8033,153.2
B8034,153.2
B8035,153.2
B8036,153.2
B803z,153.2
B804.,159.2
B8040,153.3
B8041,153.3
B805.,153.3
B8080,155.0
B8083,155.0
B8085,155.0
B8086,155.0
B80z0,159.0
B81..,165.0
B810.,149.4
B8100,149.4
B8108,149.4
B812.,165.1
B8120,165.1
B8121,165.1
B8122,165.1
B8124,165.1
B812z,165.1
B81y1,165.0
B81y7,165.0
B82..,172.3
B820.,172.3
B822z,172.3
B8230,172.3
B8233,172.3
B8234,172.3
B8235,172.3
B8240,172.3
B8241,172.3
B8250,172.3
B8251,172.3
B8260,172.3
B827.,172.3
B8271,172.3
B8281,172.11
B8283,172.11
B8284,172.11
B8285,172.11
B8286,172.11
B82z.,172.3
B830.,174.1
B831.,180.3
B8310,180.3
B8311,180.3
B8330,184.2
B8333,184.2
B834.,185.0
B835.,187.0
B8360,187.0
B837.,189.2
B8y..,195.0
B8yy0,195.0
B8yy3,195.0
B8z..,195.0
B9...,199.0
B900z,158.0
B9010,158.0
B9011,158.0
B9013,158.0
B9017,158.0
B9024,158.0
B9025,158.0
B9030,199.0
B9037,199.0
B9040,199.0
B9050,158.0
B906.,199.0
B9068,199.0
B9072,199.0
B9082,199.0
B90z0,199.0
B90z5,199.0
B912.,184.0
B9130,199.0
B9131,199.0
B914.,187.8
B915.,187.8
B9160,187.8
B9162,187.8
B917.,189.2
B91z1,199.0
B91z2,199.0
B921.,199.0
B922.,199.0
B923.,199.0
B9230,199.0
B9233,199.0
B9240,199.0
B9250,191.0
B9251,191.0
B9253,191.0
B927.,199.4
B931.,199.0
B932.,173.0
