read2_code,phecode
B7E8.,224.1
B7F..,225.0
B7F0.,225.1
B7F00,225.1
B7F1.,225.1
B7F10,225.1
B7F2.,225.1
B7F20,225.1
B7F40,225.2
B7FX.,225.1
B7Fy.,225.0
B7Fy1,351.0
B7G..,226.0
B7H0.,227.1
B7H1.,227.2
B7H2.,227.3
B7H20,227.3
B7H21,227.3
B7H3.,227.0
B7J..,228.0
B7J0.,228.0
B7J00,228.0
B7J01,228.0
B7J02,228.0
B7J03,228.0
B7J04,228.0
B7J0z,228.0
B7J1.,228.0
B7z..,229.0
B7z0.,229.1
B7zy1,229.0
B7zz.,229.0
B8...,195.0
B8001,145.0
B8002,145.0
B8006,145.0
B8007,145.0
B8008,145.0
B801.,150.0
B802.,151.0
B803.,153.2
B8030,153.2
B8031,153.2
B8032,153.2
B8033,153.2
B8035,153.2
B8037,153.2
B8038,153.2
B804.,159.2
B8040,153.3
B8041,153.3
B805.,153.3
B8050,153.3
B807.,159.2
B8072,159.2
B808.,155.0
B8080,155.0
B8083,155.0
B8084,155.0
B8086,155.0
B80z0,159.0
B810.,149.4
B8102,149.4
B8108,149.4
B812.,165.1
B81y6,165.0
B82..,172.3
B8233,172.3
B8235,172.3
B824.,172.3
B8250,172.3
B827.,172.3
B8271,172.3
B828.,172.11
B8281,172.11
B8284,172.11
B8285,172.11
B8286,172.11
B8289,172.11
B828W,172.11
B829.,172.3
B830.,174.1
B8300,195.0
B8300,187.0
B8301,174.1
B831.,180.3
B8310,180.3
B832.,184.2
B8320,182.0
B833.,184.2
B8330,184.2
B8331,184.2
B8332,184.2
B8333,184.2
B8334,620.0
B8335,620.0
B8336,184.2
B8338,620.0
B834.,185.0
B8340,185.0
B8341,185.0
B835.,187.0
B8360,187.0
B837.,189.2
B8y0.,190.0
B8yy0,195.0
B8yy2,195.0
B8yy3,195.0
B8yyz,195.0
B8z..,195.0
B9...,199.0
B9000,158.0
B9011,158.0
B9016,158.0
B9022,158.0
B9025,158.0
B903.,199.0
B9033,199.0
B9051,158.0
B9054,158.0
B9062,199.0
B9068,199.0
B9072,199.0
B9082,199.0
B910.,184.2
B9110,184.2
B912.,184.0
B9130,199.0
B9131,199.0
B914.,187.8
B915.,187.8
B9160,187.8
B9162,187.8
B917.,189.2
B9170,189.2
B91z1,199.0
B91z2,199.0
B922.,199.0
B924.,199.0
B9240,199.0
B9250,191.0
B9252,191.0
B927.,199.4
B929.,199.4
B931.,199.0
B932.,173.0
B933.,174.3
B934.,200.1
B935.,200.0
B936.,200.0
B937.,200.0
B9371,200.0
B9374,200.0
B9375,200.0
B937W,200.0
B937X,200.0
B93yz,199.0
B9y..,199.0
B9z..,199.0
BA...,199.0
BA0..,199.0
BA022,173.0
BA03.,174.3
BA04.,189.2
BA06.,191.0
By...,199.0
Byu1.,159.0
Byu11,155.1
Byu4.,172.2
Byu40,172.11
Byu41,172.11
Byu42,172.2
Byu50,195.1
Byu57,159.4
Byu6.,174.11
Byu80,187.1
Byu9.,189.4
ByuA1,191.1
ByuA2,191.1
ByuA3,191.1
ByuB.,194.0
ByuB1,194.0
ByuC0,195.1
ByuC3,198.2
ByuC4,198.3
ByuC7,198.0
ByuD.,202.2
ByuD2,202.2
ByuD3,202.2
ByuDF,202.2
ByuFG,174.1
ByuG.,229.0
ByuGH,229.0
ByuGN,216.0
Bz...,199.0
C0...,246.0
C00..,240.0
C000.,240.0
C00z.,240.0
C01..,240.0
C010.,241.1
C011.,241.2
C01z.,240.0
C02..,242.0
C020.,242.1
C020z,242.1
C021.,242.0
C022.,242.2
C0220,242.2
C022z,242.2
C023z,242.2
C025.,242.0
C02y.,253.1
C02z.,242.0
C02z0,242.0
C02z1,242.0
C02zz,242.0
C03..,244.5
C03z.,244.5
C04..,244.4
C040.,244.1
C0410,244.1
C041z,244.1
C042.,244.2
C043.,244.1
C043z,244.1
C044.,244.2
C045.,246.0
C046.,244.2
C047.,244.2
C04y.,244.2
C04z.,244.4
C05..,245.0
C050.,245.1
C051.,245.1
C052.,245.21
C05y.,245.0
C05z.,245.0
C06..,246.0
C061.,246.0
C062.,241.1
C0630,246.0
C06y0,246.0
C06z.,246.0
C0A3.,240.0
C0A4.,241.2
C0A5.,244.2
C0AX.,240.0
C10..,250.2
C1000,250.1
C1001,250.2
C100z,250.2
C107.,443.7
C108.,250.1
C1088,250.1
C1089,250.1
C109.,250.2
C1097,250.2
C1099,250.2
C109J,250.2
C109K,250.2
C10B.,250.2
C10C.,250.2
C10D.,250.2
C10E.,250.1
C10E8,250.1
C10EM,250.11
C10ER,250.1
C10F.,250.2
C10F7,250.2
C10F8,250.2
C10F9,250.2
C10FJ,250.2
C10FK,250.2
C10FN,250.21
C10FS,250.2
C10G.,250.2
C10J.,250.2
C10N.,250.2
C10P.,250.2
C11..,251.0
C110.,251.1
C1101,251.1
C110z,251.1
C112.,251.1
C1120,251.1
C1121,251.1
C112z,251.1
C116.,251.1
C11y0,250.2
C11y1,251.1
C11y2,250.41
C11y3,250.42
C11y4,251.0
C11y5,250.41
C120.,252.1
C1200,252.1
C121.,252.2
C1211,252.2
C1212,252.2
C130.,253.11
C1302,253.11
C1310,253.1
C132.,253.2
C1330,253.2
C1340,253.2
C1341,253.2
C1343,253.2
C1344,253.2
C134z,253.2
C135.,253.3
C1350,253.3
C1360,253.7
C1372,258.0
C138.,346.1
C139.,253.2
C13A.,253.0
C13X.,253.0
C13y0,253.0
C13y2,253.0
C13z.,253.0
C15..,255.0
C150.,255.11
C1501,255.11
C1502,255.11
C150z,255.11
C151.,255.12
C1510,255.12
C1520,255.3
C1522,255.3
C1528,255.3
C153.,255.1
C154.,255.21
C1540,255.21
C1541,255.21
C1543,255.21
C1544,255.21
C1546,255.21
C154z,255.21
C155.,255.21
C15y.,255.0
C15z.,255.0
C16..,256.0
C162.,258.1
C163.,256.0
C1630,627.5
C1631,627.5
C1633,627.5
C1634,256.0
C163y,256.0
C163z,256.0
C164.,256.4
C165.,256.4
C17..,257.0
C172.,257.1
C1721,257.1
C172z,257.1
C17y.,257.0
C17y0,259.0
C18..,259.0
C180.,199.0
C1z0.,259.3
C1z2.,259.2
C1z4.,259.0
C1z5.,259.0
C1zy5,259.0
C1zz.,259.0
C2...,263.0
C22..,260.0
C234.,260.0
C23y.,260.0
C23z.,260.0
C251.,261.2
C26..,261.2
C260.,261.2
C261.,261.2
C262.,261.2
C2620,261.2
C2621,261.2
C2623,261.2
C26z.,261.2
C28..,261.4
C280.,261.41
C282.,261.41
C28z.,261.4
C29..,263.0
C291.,261.0
C291z,261.0
C292.,261.0
C293.,263.0
C2930,262.0
C2941,262.0
C2943,262.0
C2944,262.0
C2949,263.0
C2B..,261.4
C3001,270.1
C3005,270.2
C301.,270.12
C302.,270.1
C3027,270.1
C3034,270.1
C3070,270.2
C30y4,270.2
C310.,271.9
C3100,271.9
C3102,271.9
C313.,271.3
C3130,271.3
C3131,271.3
C3133,271.3
C3134,271.3
C3135,271.3
C3137,271.3
C313A,557.0
C314.,271.9
C317.,250.42
C31y2,271.9
C32..,272.9
C320.,272.11
C3200,272.11
C3202,272.11
C3203,272.11
C3204,272.11
C3206,272.11
C320y,272.11
C320z,272.11
C321.,272.12
C3210,272.12
C322.,272.13
C3220,272.1
C323.,272.14
C324.,272.1
C325.,277.51
C3250,277.51
C3252,277.51
C325z,277.51
C326.,277.51
C327.,277.51
C327z,277.51
C328.,277.5
C329.,272.11
C32y.,277.5
C32y0,277.5
C32y0,277.0
C32y5,277.5
C32y5,277.0
C32y6,277.5
C32yz,277.5
C32z.,272.9
C33..,277.0
C330.,270.31
C3300,270.31
C331.,270.32
C3310,270.32
C332.,270.31
C3320,270.32
C3321,270.32
C3322,289.0
C332z,289.0
C3330,270.35
C33y0,277.51
